Month,Day ,Hour,"Worchester, MA"
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0.392217046
1,1,10,0.475073908
1,1,11,0.693275267
1,1,12,0.724642703
1,1,13,0.65033449
1,1,14,0.454653957
1,1,15,0.214627369
1,1,16,0.024236097
1,1,17,0
1,1,18,0
1,1,19,0
1,1,20,0
1,1,21,0
1,1,22,0
1,1,23,0
1,1,24,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0.414527547
1,2,10,0.634309362
1,2,11,0.730071141
1,2,12,0.727051662
1,2,13,0.630528423
1,2,14,0.376005257
1,2,15,0.168737928
1,2,16,0.022949128
1,2,17,0
1,2,18,0
1,2,19,0
1,2,20,0
1,2,21,0
1,2,22,0
1,2,23,0
1,2,24,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0.078244665
1,3,10,0.1125677
1,3,11,0.175002032
1,3,12,0.210854411
1,3,13,0.198358945
1,3,14,0.160288269
1,3,15,0.102729781
1,3,16,0.014042612
1,3,17,0
1,3,18,0
1,3,19,0
1,3,20,0
1,3,21,0
1,3,22,0
1,3,23,0
1,3,24,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0.09883881
1,4,10,0.170003391
1,4,11,0.42598641
1,4,12,0.465079414
1,4,13,0.617612774
1,4,14,0.4491775
1,4,15,0.213813831
1,4,16,0.028785931
1,4,17,0
1,4,18,0
1,4,19,0
1,4,20,0
1,4,21,0
1,4,22,0
1,4,23,0
1,4,24,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0.510096619
1,5,10,0.724132326
1,5,11,0.811855372
1,5,12,0.802411095
1,5,13,0.700983686
1,5,14,0.516121958
1,5,15,0.270174251
1,5,16,0.032581181
1,5,17,0
1,5,18,0
1,5,19,0
1,5,20,0
1,5,21,0
1,5,22,0
1,5,23,0
1,5,24,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0.510321861
1,6,10,0.704324277
1,6,11,0.618503047
1,6,12,0.762346879
1,6,13,0.461062678
1,6,14,0.355787956
1,6,15,0.158005934
1,6,16,0.03371814
1,6,17,0
1,6,18,0
1,6,19,0
1,6,20,0
1,6,21,0
1,6,22,0
1,6,23,0
1,6,24,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0.159353774
1,7,10,0.268310104
1,7,11,0.51354182
1,7,12,0.308126711
1,7,13,0.252755662
1,7,14,0.198220042
1,7,15,0.12254449
1,7,16,0.015204476
1,7,17,0
1,7,18,0
1,7,19,0
1,7,20,0
1,7,21,0
1,7,22,0
1,7,23,0
1,7,24,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0.050074384
1,8,10,0.179471934
1,8,11,0.162203464
1,8,12,0.250599087
1,8,13,0.262913305
1,8,14,0.174296662
1,8,15,0.109664816
1,8,16,0.024107386
1,8,17,0
1,8,18,0
1,8,19,0
1,8,20,0
1,8,21,0
1,8,22,0
1,8,23,0
1,8,24,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0.54283346
1,9,10,0.744235544
1,9,11,0.835739962
1,9,12,0.817358637
1,9,13,0.718730271
1,9,14,0.501759718
1,9,15,0.257010301
1,9,16,0.030034952
1,9,17,0
1,9,18,0
1,9,19,0
1,9,20,0
1,9,21,0
1,9,22,0
1,9,23,0
1,9,24,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0.464833894
1,10,10,0.685052248
1,10,11,0.742736564
1,10,12,0.701900349
1,10,13,0.573699591
1,10,14,0.455023139
1,10,15,0.227212423
1,10,16,0.03909237
1,10,17,0
1,10,18,0
1,10,19,0
1,10,20,0
1,10,21,0
1,10,22,0
1,10,23,0
1,10,24,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0.110307321
1,11,10,0.213580558
1,11,11,0.2785932
1,11,12,0.251367483
1,11,13,0.184727303
1,11,14,0.120214849
1,11,15,0.091830455
1,11,16,0.01849127
1,11,17,0
1,11,18,0
1,11,19,0
1,11,20,0
1,11,21,0
1,11,22,0
1,11,23,0
1,11,24,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0.068791083
1,12,10,0.154760835
1,12,11,0.219628374
1,12,12,0.317919197
1,12,13,0.316717921
1,12,14,0.278791098
1,12,15,0.203254484
1,12,16,0.031560841
1,12,17,0
1,12,18,0
1,12,19,0
1,12,20,0
1,12,21,0
1,12,22,0
1,12,23,0
1,12,24,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0.16097259
1,13,10,0.510003977
1,13,11,0.584699349
1,13,12,0.551613764
1,13,13,0.505204693
1,13,14,0.236363324
1,13,15,0.135632543
1,13,16,0.018319558
1,13,17,0
1,13,18,0
1,13,19,0
1,13,20,0
1,13,21,0
1,13,22,0
1,13,23,0
1,13,24,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0.281277273
1,14,10,0.499218972
1,14,11,0.633926227
1,14,12,0.606696535
1,14,13,0.601078082
1,14,14,0.415387912
1,14,15,0.180237089
1,14,16,0.041649966
1,14,17,0
1,14,18,0
1,14,19,0
1,14,20,0
1,14,21,0
1,14,22,0
1,14,23,0
1,14,24,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0.294899391
1,15,10,0.391850442
1,15,11,0.315727162
1,15,12,0.327679155
1,15,13,0.405832611
1,15,14,0.310224918
1,15,15,0.224547556
1,15,16,0.049709992
1,15,17,0
1,15,18,0
1,15,19,0
1,15,20,0
1,15,21,0
1,15,22,0
1,15,23,0
1,15,24,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0.0681769
1,16,10,0.131019179
1,16,11,0.208562479
1,16,12,0.217970839
1,16,13,0.24276219
1,16,14,0.224209877
1,16,15,0.134713032
1,16,16,0.03720258
1,16,17,0
1,16,18,0
1,16,19,0
1,16,20,0
1,16,21,0
1,16,22,0
1,16,23,0
1,16,24,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
1,17,8,0
1,17,9,0.168282548
1,17,10,0.519015453
1,17,11,0.653520433
1,17,12,0.764480453
1,17,13,0.705785625
1,17,14,0.460798626
1,17,15,0.266955817
1,17,16,0.047970843
1,17,17,0
1,17,18,0
1,17,19,0
1,17,20,0
1,17,21,0
1,17,22,0
1,17,23,0
1,17,24,0
1,18,1,0
1,18,2,0
1,18,3,0
1,18,4,0
1,18,5,0
1,18,6,0
1,18,7,0
1,18,8,0
1,18,9,0.534688628
1,18,10,0.758282949
1,18,11,0.851489534
1,18,12,0.847533025
1,18,13,0.752473479
1,18,14,0.57444733
1,18,15,0.322550354
1,18,16,0.059207711
1,18,17,0
1,18,18,0
1,18,19,0
1,18,20,0
1,18,21,0
1,18,22,0
1,18,23,0
1,18,24,0
1,19,1,0
1,19,2,0
1,19,3,0
1,19,4,0
1,19,5,0
1,19,6,0
1,19,7,0
1,19,8,0
1,19,9,0.396660694
1,19,10,0.640695443
1,19,11,0.758614546
1,19,12,0.769794463
1,19,13,0.685594515
1,19,14,0.51742169
1,19,15,0.28502469
1,19,16,0.054430027
1,19,17,0
1,19,18,0
1,19,19,0
1,19,20,0
1,19,21,0
1,19,22,0
1,19,23,0
1,19,24,0
1,20,1,0
1,20,2,0
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,0.080410136
1,20,10,0.187797326
1,20,11,0.247127636
1,20,12,0.294155071
1,20,13,0.243417035
1,20,14,0.233137023
1,20,15,0.164815026
1,20,16,0.046829899
1,20,17,0
1,20,18,0
1,20,19,0
1,20,20,0
1,20,21,0
1,20,22,0
1,20,23,0
1,20,24,0
1,21,1,0
1,21,2,0
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0.439700361
1,21,10,0.484211584
1,21,11,0.391321672
1,21,12,0.585728736
1,21,13,0.196668142
1,21,14,0.238301034
1,21,15,0.141596835
1,21,16,0.037153003
1,21,17,0
1,21,18,0
1,21,19,0
1,21,20,0
1,21,21,0
1,21,22,0
1,21,23,0
1,21,24,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0.178961386
1,22,10,0.335888412
1,22,11,0.662630222
1,22,12,0.771047582
1,22,13,0.666646383
1,22,14,0.485441484
1,22,15,0.313530893
1,22,16,0.064779761
1,22,17,0
1,22,18,0
1,22,19,0
1,22,20,0
1,22,21,0
1,22,22,0
1,22,23,0
1,22,24,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0.609973866
1,23,10,0.822287036
1,23,11,0.914059281
1,23,12,0.858223514
1,23,13,0.757425929
1,23,14,0.531169376
1,23,15,0.341769303
1,23,16,0.068579944
1,23,17,0
1,23,18,0
1,23,19,0
1,23,20,0
1,23,21,0
1,23,22,0
1,23,23,0
1,23,24,0
1,24,1,0
1,24,2,0
1,24,3,0
1,24,4,0
1,24,5,0
1,24,6,0
1,24,7,0
1,24,8,0
1,24,9,0.099778274
1,24,10,0.203753348
1,24,11,0.284795164
1,24,12,0.362677934
1,24,13,0.256781598
1,24,14,0.248361357
1,24,15,0.158097393
1,24,16,0.059295736
1,24,17,0
1,24,18,0
1,24,19,0
1,24,20,0
1,24,21,0
1,24,22,0
1,24,23,0
1,24,24,0
1,25,1,0
1,25,2,0
1,25,3,0
1,25,4,0
1,25,5,0
1,25,6,0
1,25,7,0
1,25,8,0
1,25,9,0.37790277
1,25,10,0.620534201
1,25,11,0.698228734
1,25,12,0.672222496
1,25,13,0.576467588
1,25,14,0.53820484
1,25,15,0.231779387
1,25,16,0.034001498
1,25,17,0
1,25,18,0
1,25,19,0
1,25,20,0
1,25,21,0
1,25,22,0
1,25,23,0
1,25,24,0
1,26,1,0
1,26,2,0
1,26,3,0
1,26,4,0
1,26,5,0
1,26,6,0
1,26,7,0
1,26,8,0
1,26,9,0.08733582
1,26,10,0.102277242
1,26,11,0.216170143
1,26,12,0.352078434
1,26,13,0.161500397
1,26,14,0.242805367
1,26,15,0.150934661
1,26,16,0.05534482
1,26,17,0
1,26,18,0
1,26,19,0
1,26,20,0
1,26,21,0
1,26,22,0
1,26,23,0
1,26,24,0
1,27,1,0
1,27,2,0
1,27,3,0
1,27,4,0
1,27,5,0
1,27,6,0
1,27,7,0
1,27,8,0
1,27,9,0.107152395
1,27,10,0.111392242
1,27,11,0.270744589
1,27,12,0.288147517
1,27,13,0.166599342
1,27,14,0.228697492
1,27,15,0.150429987
1,27,16,0.032786165
1,27,17,0
1,27,18,0
1,27,19,0
1,27,20,0
1,27,21,0
1,27,22,0
1,27,23,0
1,27,24,0
1,28,1,0
1,28,2,0
1,28,3,0
1,28,4,0
1,28,5,0
1,28,6,0
1,28,7,0
1,28,8,0
1,28,9,0.105966748
1,28,10,0.096414938
1,28,11,0.234375168
1,28,12,0.400728453
1,28,13,0.46182371
1,28,14,0.250387242
1,28,15,0.179901403
1,28,16,0.046978968
1,28,17,0
1,28,18,0
1,28,19,0
1,28,20,0
1,28,21,0
1,28,22,0
1,28,23,0
1,28,24,0
1,29,1,0
1,29,2,0
1,29,3,0
1,29,4,0
1,29,5,0
1,29,6,0
1,29,7,0
1,29,8,0
1,29,9,0.098210311
1,29,10,0.196694479
1,29,11,0.190679015
1,29,12,0.170023606
1,29,13,0.193750476
1,29,14,0.196593645
1,29,15,0.135912465
1,29,16,0.044346602
1,29,17,0
1,29,18,0
1,29,19,0
1,29,20,0
1,29,21,0
1,29,22,0
1,29,23,0
1,29,24,0
1,30,1,0
1,30,2,0
1,30,3,0
1,30,4,0
1,30,5,0
1,30,6,0
1,30,7,0
1,30,8,0
1,30,9,0.275685493
1,30,10,0.274721659
1,30,11,0.158790749
1,30,12,0.266944895
1,30,13,0.198563542
1,30,14,0.17567246
1,30,15,0.17694904
1,30,16,0.072922804
1,30,17,0
1,30,18,0
1,30,19,0
1,30,20,0
1,30,21,0
1,30,22,0
1,30,23,0
1,30,24,0
1,31,1,0
1,31,2,0
1,31,3,0
1,31,4,0
1,31,5,0
1,31,6,0
1,31,7,0
1,31,8,0
1,31,9,0.591531351
1,31,10,0.78879244
1,31,11,0.795949055
1,31,12,0.696533807
1,31,13,0.489852371
1,31,14,0.474472379
1,31,15,0.172881571
1,31,16,0.044849748
1,31,17,0
1,31,18,0
1,31,19,0
1,31,20,0
1,31,21,0
1,31,22,0
1,31,23,0
1,31,24,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0.53416781
2,1,10,0.724072759
2,1,11,0.576262551
2,1,12,0.779390023
2,1,13,0.433497199
2,1,14,0.49497112
2,1,15,0.314185892
2,1,16,0.091451736
2,1,17,0
2,1,18,0
2,1,19,0
2,1,20,0
2,1,21,0
2,1,22,0
2,1,23,0
2,1,24,0
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,0
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0.626042439
2,2,10,0.838270874
2,2,11,0.92397562
2,2,12,0.920996091
2,2,13,0.822319647
2,2,14,0.646972637
2,2,15,0.386393888
2,2,16,0.100569655
2,2,17,0
2,2,18,0
2,2,19,0
2,2,20,0
2,2,21,0
2,2,22,0
2,2,23,0
2,2,24,0
2,3,1,0
2,3,2,0
2,3,3,0
2,3,4,0
2,3,5,0
2,3,6,0
2,3,7,0
2,3,8,0
2,3,9,0.165696675
2,3,10,0.240754434
2,3,11,0.232846308
2,3,12,0.282166353
2,3,13,0.329898298
2,3,14,0.249924898
2,3,15,0.21042295
2,3,16,0.069479805
2,3,17,0
2,3,18,0
2,3,19,0
2,3,20,0
2,3,21,0
2,3,22,0
2,3,23,0
2,3,24,0
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,0
2,4,5,0
2,4,6,0
2,4,7,0
2,4,8,0
2,4,9,0.386251007
2,4,10,0.665411445
2,4,11,0.789976453
2,4,12,0.76782754
2,4,13,0.791923123
2,4,14,0.61430739
2,4,15,0.235667617
2,4,16,0.078237246
2,4,17,0
2,4,18,0
2,4,19,0
2,4,20,0
2,4,21,0
2,4,22,0
2,4,23,0
2,4,24,0
2,5,1,0
2,5,2,0
2,5,3,0
2,5,4,0
2,5,5,0
2,5,6,0
2,5,7,0
2,5,8,0
2,5,9,0.132963289
2,5,10,0.237511879
2,5,11,0.304792503
2,5,12,0.309360096
2,5,13,0.330768396
2,5,14,0.323824267
2,5,15,0.200899839
2,5,16,0.075556537
2,5,17,0
2,5,18,0
2,5,19,0
2,5,20,0
2,5,21,0
2,5,22,0
2,5,23,0
2,5,24,0
2,6,1,0
2,6,2,0
2,6,3,0
2,6,4,0
2,6,5,0
2,6,6,0
2,6,7,0
2,6,8,0
2,6,9,0.592542267
2,6,10,0.838694182
2,6,11,0.942233581
2,6,12,0.936323376
2,6,13,0.835159531
