Month,Day ,Hour,"Fresno, CA"
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0.26760599
1,1,11,0.340783179
1,1,12,0.335757748
1,1,13,0.224977581
1,1,14,0.183782164
1,1,15,0.104760138
1,1,16,0
1,1,17,0
1,1,18,0
1,1,19,0
1,1,20,0
1,1,21,0
1,1,22,0
1,1,23,0
1,1,24,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0.181632888
1,2,11,0.22053326
1,2,12,0.248175316
1,2,13,0.270728366
1,2,14,0.228500598
1,2,15,0.314495275
1,2,16,0
1,2,17,0
1,2,18,0
1,2,19,0
1,2,20,0
1,2,21,0
1,2,22,0
1,2,23,0
1,2,24,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0.176586689
1,3,11,0.154200789
1,3,12,0.272414991
1,3,13,0.247783628
1,3,14,0.171847376
1,3,15,0.075841997
1,3,16,0
1,3,17,0
1,3,18,0
1,3,19,0
1,3,20,0
1,3,21,0
1,3,22,0
1,3,23,0
1,3,24,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0.162988806
1,4,11,0.27591932
1,4,12,0.305803174
1,4,13,0.374868215
1,4,14,0.353672043
1,4,15,0.454973157
1,4,16,0
1,4,17,0
1,4,18,0
1,4,19,0
1,4,20,0
1,4,21,0
1,4,22,0
1,4,23,0
1,4,24,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0.142595923
1,5,11,0.251779591
1,5,12,0.26736971
1,5,13,0.361942152
1,5,14,0.181763554
1,5,15,0.135755314
1,5,16,0
1,5,17,0
1,5,18,0
1,5,19,0
1,5,20,0
1,5,21,0
1,5,22,0
1,5,23,0
1,5,24,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0.174897611
1,6,11,0.19519544
1,6,12,0.270801932
1,6,13,0.112611594
1,6,14,0.096460784
1,6,15,0.092553824
1,6,16,0
1,6,17,0
1,6,18,0
1,6,19,0
1,6,20,0
1,6,21,0
1,6,22,0
1,6,23,0
1,6,24,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0.147589613
1,7,11,0.224076958
1,7,12,0.242975322
1,7,13,0.247415776
1,7,14,0.218052137
1,7,15,0.313298002
1,7,16,0
1,7,17,0
1,7,18,0
1,7,19,0
1,7,20,0
1,7,21,0
1,7,22,0
1,7,23,0
1,7,24,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0
1,8,10,0.455305907
1,8,11,0.701496506
1,8,12,0.698250094
1,8,13,0.801985281
1,8,14,0.562375697
1,8,15,0.350910527
1,8,16,0
1,8,17,0
1,8,18,0
1,8,19,0
1,8,20,0
1,8,21,0
1,8,22,0
1,8,23,0
1,8,24,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0
1,9,10,0.14290479
1,9,11,0.174819283
1,9,12,0.218842364
1,9,13,0.25938238
1,9,14,0.671951687
1,9,15,0.477281129
1,9,16,0
1,9,17,0
1,9,18,0
1,9,19,0
1,9,20,0
1,9,21,0
1,9,22,0
1,9,23,0
1,9,24,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0.123356909
1,10,11,0.199233203
1,10,12,0.286784887
1,10,13,0.307625575
1,10,14,0.214148027
1,10,15,0.175736366
1,10,16,0
1,10,17,0
1,10,18,0
1,10,19,0
1,10,20,0
1,10,21,0
1,10,22,0
1,10,23,0
1,10,24,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0.179853419
1,11,11,0.278669078
1,11,12,0.307727565
1,11,13,0.313191457
1,11,14,0.259366826
1,11,15,0.297075327
1,11,16,0
1,11,17,0
1,11,18,0
1,11,19,0
1,11,20,0
1,11,21,0
1,11,22,0
1,11,23,0
1,11,24,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0
1,12,10,0.106125888
1,12,11,0.211346862
1,12,12,0.223030175
1,12,13,0.209232973
1,12,14,0.238584388
1,12,15,0.173801836
1,12,16,0
1,12,17,0
1,12,18,0
1,12,19,0
1,12,20,0
1,12,21,0
1,12,22,0
1,12,23,0
1,12,24,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0.161803379
1,13,11,0.229680328
1,13,12,0.258965312
1,13,13,0.293303267
1,13,14,0.22381382
1,13,15,0.170651888
1,13,16,0
1,13,17,0
1,13,18,0
1,13,19,0
1,13,20,0
1,13,21,0
1,13,22,0
1,13,23,0
1,13,24,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,0.187811308
1,14,11,0.255889472
1,14,12,0.272975033
1,14,13,0.289528422
1,14,14,0.275274774
1,14,15,0.549128325
1,14,16,0
1,14,17,0
1,14,18,0
1,14,19,0
1,14,20,0
1,14,21,0
1,14,22,0
1,14,23,0
1,14,24,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0.12483742
1,15,11,0.65985427
1,15,12,0.763049586
1,15,13,0.784927146
1,15,14,0.678561489
1,15,15,0.571577588
1,15,16,0
1,15,17,0
1,15,18,0
1,15,19,0
1,15,20,0
1,15,21,0
1,15,22,0
1,15,23,0
1,15,24,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0.243043754
1,16,11,0.215968946
1,16,12,0.172510704
1,16,13,0.263591883
1,16,14,0.664316536
1,16,15,0.557467713
1,16,16,0
1,16,17,0
1,16,18,0
1,16,19,0
1,16,20,0
1,16,21,0
1,16,22,0
1,16,23,0
1,16,24,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
1,17,8,0
1,17,9,0
1,17,10,0.598153635
1,17,11,0.765756117
1,17,12,0.859926954
1,17,13,0.865693517
1,17,14,0.799608486
1,17,15,0.655743432
1,17,16,0
1,17,17,0
1,17,18,0
1,17,19,0
1,17,20,0
1,17,21,0
1,17,22,0
1,17,23,0
1,17,24,0
1,18,1,0
1,18,2,0
1,18,3,0
1,18,4,0
1,18,5,0
1,18,6,0
1,18,7,0
1,18,8,0
1,18,9,0
1,18,10,0.405891296
1,18,11,0.653447638
1,18,12,0.645053534
1,18,13,0.34278702
1,18,14,0.354317875
1,18,15,0.238635534
1,18,16,0
1,18,17,0
1,18,18,0
1,18,19,0
1,18,20,0
1,18,21,0
1,18,22,0
1,18,23,0
1,18,24,0
1,19,1,0
1,19,2,0
1,19,3,0
1,19,4,0
1,19,5,0
1,19,6,0
1,19,7,0
1,19,8,0
1,19,9,0
1,19,10,0.560756386
1,19,11,0.725863498
1,19,12,0.811928569
1,19,13,0.815541863
1,19,14,0.75081323
1,19,15,0.607458266
1,19,16,0
1,19,17,0
1,19,18,0
1,19,19,0
1,19,20,0
1,19,21,0
1,19,22,0
1,19,23,0
1,19,24,0
1,20,1,0
1,20,2,0
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,0
1,20,10,0.531045013
1,20,11,0.6908124
1,20,12,0.778698513
1,20,13,0.787314347
1,20,14,0.725144824
1,20,15,0.575753153
1,20,16,0.35621352
1,20,17,0
1,20,18,0
1,20,19,0
1,20,20,0
1,20,21,0
1,20,22,0
1,20,23,0
1,20,24,0
1,21,1,0
1,21,2,0
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0.607597862
1,21,11,0.76278358
1,21,12,0.803523913
1,21,13,0.666260164
1,21,14,0.725805747
1,21,15,0.589647269
1,21,16,0.395501015
1,21,17,0
1,21,18,0
1,21,19,0
1,21,20,0
1,21,21,0
1,21,22,0
1,21,23,0
1,21,24,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0
1,22,10,0.209134296
1,22,11,0.641777678
1,22,12,0.518673808
1,22,13,0.444880302
1,22,14,0.22170367
1,22,15,0.172197564
1,22,16,0.133184618
1,22,17,0
1,22,18,0
1,22,19,0
1,22,20,0
1,22,21,0
1,22,22,0
1,22,23,0
1,22,24,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0.448652888
1,23,11,0.716802065
1,23,12,0.730958659
1,23,13,0.790279965
1,23,14,0.75074458
1,23,15,0.583543297
1,23,16,0.446132292
1,23,17,0
1,23,18,0
1,23,19,0
1,23,20,0
1,23,21,0
1,23,22,0
1,23,23,0
1,23,24,0
1,24,1,0
1,24,2,0
1,24,3,0
1,24,4,0
1,24,5,0
1,24,6,0
1,24,7,0
1,24,8,0
1,24,9,0
1,24,10,0.139699953
1,24,11,0.255916888
1,24,12,0.262788651
1,24,13,0.307148272
1,24,14,0.238592692
1,24,15,0.262187086
1,24,16,0.191234611
1,24,17,0
1,24,18,0
1,24,19,0
1,24,20,0
1,24,21,0
1,24,22,0
1,24,23,0
1,24,24,0
1,25,1,0
1,25,2,0
1,25,3,0
1,25,4,0
1,25,5,0
1,25,6,0
1,25,7,0
1,25,8,0
1,25,9,0
1,25,10,0.556304794
1,25,11,0.732546865
1,25,12,0.756299248
1,25,13,0.730042933
1,25,14,0.708776005
1,25,15,0.483309442
1,25,16,0.365636287
1,25,17,0
1,25,18,0
1,25,19,0
1,25,20,0
1,25,21,0
1,25,22,0
1,25,23,0
1,25,24,0
1,26,1,0
1,26,2,0
1,26,3,0
1,26,4,0
1,26,5,0
1,26,6,0
1,26,7,0
1,26,8,0
1,26,9,0
1,26,10,0.579118531
1,26,11,0.725993595
1,26,12,0.812308129
1,26,13,0.743649034
1,26,14,0.751000657
1,26,15,0.531374862
1,26,16,0.149147538
1,26,17,0
1,26,18,0
1,26,19,0
1,26,20,0
1,26,21,0
1,26,22,0
1,26,23,0
1,26,24,0
1,27,1,0
1,27,2,0
1,27,3,0
1,27,4,0
1,27,5,0
1,27,6,0
1,27,7,0
1,27,8,0
1,27,9,0
1,27,10,0.148883719
1,27,11,0.212880823
1,27,12,0.200721708
1,27,13,0.230296265
1,27,14,0.195818124
1,27,15,0.15966845
1,27,16,0.106642688
1,27,17,0
1,27,18,0
1,27,19,0
1,27,20,0
1,27,21,0
1,27,22,0
1,27,23,0
1,27,24,0
1,28,1,0
1,28,2,0
1,28,3,0
1,28,4,0
1,28,5,0
1,28,6,0
1,28,7,0
1,28,8,0
1,28,9,0
1,28,10,0.463008626
1,28,11,0.365031137
1,28,12,0.359046792
1,28,13,0.503305009
1,28,14,0.368494566
1,28,15,0.269618303
1,28,16,0.135713736
1,28,17,0
1,28,18,0
1,28,19,0
1,28,20,0
1,28,21,0
1,28,22,0
1,28,23,0
1,28,24,0
1,29,1,0
1,29,2,0
1,29,3,0
1,29,4,0
1,29,5,0
1,29,6,0
1,29,7,0
1,29,8,0
1,29,9,0
1,29,10,0.544975185
1,29,11,0.707776313
1,29,12,0.789939485
1,29,13,0.29438178
1,29,14,0.328936727
1,29,15,0.61019987
1,29,16,0.32932419
1,29,17,0
1,29,18,0
1,29,19,0
1,29,20,0
1,29,21,0
1,29,22,0
1,29,23,0
1,29,24,0
1,30,1,0
1,30,2,0
1,30,3,0
1,30,4,0
1,30,5,0
1,30,6,0
1,30,7,0
1,30,8,0
1,30,9,0
1,30,10,0.15414858
1,30,11,0.349899444
1,30,12,0.382521037
1,30,13,0.473618107
1,30,14,0.518008628
1,30,15,0.399782848
1,30,16,0.231630915
1,30,17,0
1,30,18,0
1,30,19,0
1,30,20,0
1,30,21,0
1,30,22,0
1,30,23,0
1,30,24,0
1,31,1,0
1,31,2,0
1,31,3,0
1,31,4,0
1,31,5,0
1,31,6,0
1,31,7,0
1,31,8,0
1,31,9,0.086754478
1,31,10,0.18498179
1,31,11,0.173986926
1,31,12,0.23125916
1,31,13,0.273718054
1,31,14,0.29778512
1,31,15,0.208586215
1,31,16,0.111894877
1,31,17,0
1,31,18,0
1,31,19,0
1,31,20,0
1,31,21,0
1,31,22,0
1,31,23,0
1,31,24,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0.119290234
2,1,10,0.335407744
2,1,11,0.561003151
2,1,12,0.68754933
2,1,13,0.788256345
2,1,14,0.713385457
2,1,15,0.58618864
2,1,16,0.383881944
2,1,17,0
2,1,18,0
2,1,19,0
2,1,20,0
2,1,21,0
2,1,22,0
2,1,23,0
2,1,24,0
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,0
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0.372102005
2,2,10,0.605922085
2,2,11,0.761602407
2,2,12,0.843134404
2,2,13,0.846601959
2,2,14,0.787342099
2,2,15,0.654307338
2,2,16,0.450144576
2,2,17,0
2,2,18,0
2,2,19,0
2,2,20,0
2,2,21,0
2,2,22,0
2,2,23,0
2,2,24,0
2,3,1,0
2,3,2,0
2,3,3,0
2,3,4,0
2,3,5,0
2,3,6,0
2,3,7,0
2,3,8,0
2,3,9,0.249086821
2,3,10,0.484034208
2,3,11,0.650494035
2,3,12,0.737419299
2,3,13,0.743018713
2,3,14,0.680391805
2,3,15,0.539042476
2,3,16,0.331234709
2,3,17,0
2,3,18,0
2,3,19,0
2,3,20,0
2,3,21,0
2,3,22,0
2,3,23,0
2,3,24,0
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,0
2,4,5,0
2,4,6,0
2,4,7,0
2,4,8,0
2,4,9,0.112759795
2,4,10,0.100543715
2,4,11,0.215445817
2,4,12,0.345635797
2,4,13,0.148918837
2,4,14,0.55709315
2,4,15,0.493572368
2,4,16,0.372383758
2,4,17,0
2,4,18,0
2,4,19,0
2,4,20,0
2,4,21,0
2,4,22,0
2,4,23,0
2,4,24,0
2,5,1,0
2,5,2,0
2,5,3,0
2,5,4,0
2,5,5,0
2,5,6,0
2,5,7,0
2,5,8,0
2,5,9,0.123675987
2,5,10,0.183136677
2,5,11,0.19276846
2,5,12,0.32544995
2,5,13,0.248489132
2,5,14,0.25868914
2,5,15,0.21394916
2,5,16,0.099349328
2,5,17,0
2,5,18,0
2,5,19,0
2,5,20,0
2,5,21,0
2,5,22,0
2,5,23,0
2,5,24,0
2,6,1,0
2,6,2,0
2,6,3,0
2,6,4,0
2,6,5,0
2,6,6,0
2,6,7,0
2,6,8,0
2,6,9,0.096480852
2,6,10,0.192126599
2,6,11,0.40521101
2,6,12,0.812417508
2,6,13,0.810540287
2,6,14,0.770056124
2,6,15,0.603402992
2,6,16,0.349514807
2,6,17,0
2,6,18,0
2,6,19,0
2,6,20,0
2,6,21,0
2,6,22,0
2,6,23,0
2,6,24,0
2,7,1,0
2,7,2,0
2,7,3,0
2,7,4,0
2,7,5,0
2,7,6,0
2,7,7,0
2,7,8,0
2,7,9,0.119053883
2,7,10,0.247740567
2,7,11,0.597267848
2,7,12,0.611571528
2,7,13,0.625194746
