Month,Day ,Hour,"Daggett, CA"
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0.37321523
1,1,10,0.344367771
1,1,11,0.701125295
1,1,12,0.413779328
1,1,13,0.793412422
1,1,14,0.525876082
1,1,15,0.36763972
1,1,16,0
1,1,17,0
1,1,18,0
1,1,19,0
1,1,20,0
1,1,21,0
1,1,22,0
1,1,23,0
1,1,24,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0.479550492
1,2,10,0.461214739
1,2,11,0.79854303
1,2,12,0.858040376
1,2,13,0.816533406
1,2,14,0.779361001
1,2,15,0.633275759
1,2,16,0
1,2,17,0
1,2,18,0
1,2,19,0
1,2,20,0
1,2,21,0
1,2,22,0
1,2,23,0
1,2,24,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0.379411056
1,3,10,0.555901712
1,3,11,0.455798147
1,3,12,0.763908795
1,3,13,0.753409229
1,3,14,0.742490166
1,3,15,0.623328683
1,3,16,0
1,3,17,0
1,3,18,0
1,3,19,0
1,3,20,0
1,3,21,0
1,3,22,0
1,3,23,0
1,3,24,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0.476872619
1,4,10,0.702893648
1,4,11,0.830117491
1,4,12,0.840879476
1,4,13,0.831294148
1,4,14,0.693211975
1,4,15,0.600580119
1,4,16,0
1,4,17,0
1,4,18,0
1,4,19,0
1,4,20,0
1,4,21,0
1,4,22,0
1,4,23,0
1,4,24,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0.137609249
1,5,10,0.688478563
1,5,11,0.407641538
1,5,12,0.616754973
1,5,13,0.79252088
1,5,14,0.674496759
1,5,15,0.567095703
1,5,16,0
1,5,17,0
1,5,18,0
1,5,19,0
1,5,20,0
1,5,21,0
1,5,22,0
1,5,23,0
1,5,24,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0.47417027
1,6,10,0.654740395
1,6,11,0.651663306
1,6,12,0.830922973
1,6,13,0.628165438
1,6,14,0.408764551
1,6,15,0.144214144
1,6,16,0
1,6,17,0
1,6,18,0
1,6,19,0
1,6,20,0
1,6,21,0
1,6,22,0
1,6,23,0
1,6,24,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0.100006729
1,7,10,0.257764677
1,7,11,0.501832143
1,7,12,0.65067476
1,7,13,0.528167557
1,7,14,0.570425073
1,7,15,0.327834847
1,7,16,0
1,7,17,0
1,7,18,0
1,7,19,0
1,7,20,0
1,7,21,0
1,7,22,0
1,7,23,0
1,7,24,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0.479244696
1,8,10,0.675983815
1,8,11,0.776652003
1,8,12,0.810275258
1,8,13,0.817925853
1,8,14,0.659807837
1,8,15,0.566777962
1,8,16,0.38193148
1,8,17,0
1,8,18,0
1,8,19,0
1,8,20,0
1,8,21,0
1,8,22,0
1,8,23,0
1,8,24,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0.470903094
1,9,10,0.643796829
1,9,11,0.735077071
1,9,12,0.822895609
1,9,13,0.784834517
1,9,14,0.715704996
1,9,15,0.57702827
1,9,16,0.398759327
1,9,17,0
1,9,18,0
1,9,19,0
1,9,20,0
1,9,21,0
1,9,22,0
1,9,23,0
1,9,24,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0.422472504
1,10,10,0.648172328
1,10,11,0.680282621
1,10,12,0.843379108
1,10,13,0.833986775
1,10,14,0.62629178
1,10,15,0.558054742
1,10,16,0.36031245
1,10,17,0
1,10,18,0
1,10,19,0
1,10,20,0
1,10,21,0
1,10,22,0
1,10,23,0
1,10,24,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0.503588913
1,11,10,0.698543535
1,11,11,0.806761437
1,11,12,0.878412341
1,11,13,0.823530555
1,11,14,0.647290453
1,11,15,0.578829554
1,11,16,0.380043913
1,11,17,0
1,11,18,0
1,11,19,0
1,11,20,0
1,11,21,0
1,11,22,0
1,11,23,0
1,11,24,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0.488466263
1,12,10,0.694355297
1,12,11,0.813662652
1,12,12,0.860095837
1,12,13,0.801950305
1,12,14,0.732753304
1,12,15,0.594274659
1,12,16,0.412713282
1,12,17,0
1,12,18,0
1,12,19,0
1,12,20,0
1,12,21,0
1,12,22,0
1,12,23,0
1,12,24,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0.484163273
1,13,10,0.672487575
1,13,11,0.670445363
1,13,12,0.793946476
1,13,13,0.655477508
1,13,14,0.563395234
1,13,15,0.323641099
1,13,16,0.187626391
1,13,17,0
1,13,18,0
1,13,19,0
1,13,20,0
1,13,21,0
1,13,22,0
1,13,23,0
1,13,24,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0.513255916
1,14,10,0.712690354
1,14,11,0.785111485
1,14,12,0.340822911
1,14,13,0.831469822
1,14,14,0.765451588
1,14,15,0.324528866
1,14,16,0.394573531
1,14,17,0
1,14,18,0
1,14,19,0
1,14,20,0
1,14,21,0
1,14,22,0
1,14,23,0
1,14,24,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0.412831945
1,15,10,0.643959892
1,15,11,0.824471509
1,15,12,0.886922811
1,15,13,0.86335376
1,15,14,0.79516893
1,15,15,0.52313901
1,15,16,0.41986875
1,15,17,0
1,15,18,0
1,15,19,0
1,15,20,0
1,15,21,0
1,15,22,0
1,15,23,0
1,15,24,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0.459137323
1,16,10,0.670224288
1,16,11,0.719603521
1,16,12,0.822095504
1,16,13,0.844782376
1,16,14,0.729145641
1,16,15,0.648603547
1,16,16,0.434169878
1,16,17,0
1,16,18,0
1,16,19,0
1,16,20,0
1,16,21,0
1,16,22,0
1,16,23,0
1,16,24,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
1,17,8,0
1,17,9,0.487888203
1,17,10,0.563501629
1,17,11,0.819273748
1,17,12,0.882609745
1,17,13,0.768364235
1,17,14,0.745689642
1,17,15,0.660858288
1,17,16,0.449355294
1,17,17,0
1,17,18,0
1,17,19,0
1,17,20,0
1,17,21,0
1,17,22,0
1,17,23,0
1,17,24,0
1,18,1,0
1,18,2,0
1,18,3,0
1,18,4,0
1,18,5,0
1,18,6,0
1,18,7,0
1,18,8,0
1,18,9,0.497972234
1,18,10,0.72900174
1,18,11,0.846533176
1,18,12,0.908349489
1,18,13,0.844973756
1,18,14,0.779839581
1,18,15,0.671818298
1,18,16,0.447316039
1,18,17,0
1,18,18,0
1,18,19,0
1,18,20,0
1,18,21,0
1,18,22,0
1,18,23,0
1,18,24,0
1,19,1,0
1,19,2,0
1,19,3,0
1,19,4,0
1,19,5,0
1,19,6,0
1,19,7,0
1,19,8,0
1,19,9,0.179994597
1,19,10,0.08324263
1,19,11,0.273888861
1,19,12,0.392376997
1,19,13,0.106083311
1,19,14,0.574292217
1,19,15,0.321810069
1,19,16,0.178408064
1,19,17,0
1,19,18,0
1,19,19,0
1,19,20,0
1,19,21,0
1,19,22,0
1,19,23,0
1,19,24,0
1,20,1,0
1,20,2,0
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,0.451279197
1,20,10,0.715098795
1,20,11,0.846071626
1,20,12,0.916560149
1,20,13,0.900678186
1,20,14,0.764734958
1,20,15,0.679042652
1,20,16,0.4007503
1,20,17,0
1,20,18,0
1,20,19,0
1,20,20,0
1,20,21,0
1,20,22,0
1,20,23,0
1,20,24,0
1,21,1,0
1,21,2,0
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0.445344838
1,21,10,0.715880437
1,21,11,0.783374238
1,21,12,0.681403499
1,21,13,0.88965296
1,21,14,0.673737092
1,21,15,0.656754153
1,21,16,0.452978047
1,21,17,0
1,21,18,0
1,21,19,0
1,21,20,0
1,21,21,0
1,21,22,0
1,21,23,0
1,21,24,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0.329587031
1,22,10,0.153304231
1,22,11,0.084312346
1,22,12,0.10081293
1,22,13,0.107759269
1,22,14,0.116066766
1,22,15,0.610315004
1,22,16,0.456453607
1,22,17,0
1,22,18,0
1,22,19,0
1,22,20,0
1,22,21,0
1,22,22,0
1,22,23,0
1,22,24,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0.475927441
1,23,10,0.62171245
1,23,11,0.770133393
1,23,12,0.840520371
1,23,13,0.696212857
1,23,14,0.66359583
1,23,15,0.607523146
1,23,16,0.439301679
1,23,17,0
1,23,18,0
1,23,19,0
1,23,20,0
1,23,21,0
1,23,22,0
1,23,23,0
1,23,24,0
1,24,1,0
1,24,2,0
1,24,3,0
1,24,4,0
1,24,5,0
1,24,6,0
1,24,7,0
1,24,8,0
1,24,9,0.400201612
1,24,10,0.46063145
1,24,11,0.620272596
1,24,12,0.303021017
1,24,13,0.162965355
1,24,14,0.421097901
1,24,15,0.500779505
1,24,16,0.415765551
1,24,17,0
1,24,18,0
1,24,19,0
1,24,20,0
1,24,21,0
1,24,22,0
1,24,23,0
1,24,24,0
1,25,1,0
1,25,2,0
1,25,3,0
1,25,4,0
1,25,5,0
1,25,6,0
1,25,7,0
1,25,8,0
1,25,9,0.519281702
1,25,10,0.701353085
1,25,11,0.759569759
1,25,12,0.842678965
1,25,13,0.847852898
1,25,14,0.821339798
1,25,15,0.664008405
1,25,16,0.45923806
1,25,17,0
1,25,18,0
1,25,19,0
1,25,20,0
1,25,21,0
1,25,22,0
1,25,23,0
1,25,24,0
1,26,1,0
1,26,2,0
1,26,3,0
1,26,4,0
1,26,5,0
1,26,6,0
1,26,7,0
1,26,8,0
1,26,9,0.531785451
1,26,10,0.742063491
1,26,11,0.848258928
1,26,12,0.857605324
1,26,13,0.927201687
1,26,14,0.828328101
1,26,15,0.673481924
1,26,16,0.493689355
1,26,17,0
1,26,18,0
1,26,19,0
1,26,20,0
1,26,21,0
1,26,22,0
1,26,23,0
1,26,24,0
1,27,1,0
1,27,2,0
1,27,3,0
1,27,4,0
1,27,5,0
1,27,6,0
1,27,7,0
1,27,8,0
1,27,9,0.485537046
1,27,10,0.700491662
1,27,11,0.850188984
1,27,12,0.91425145
1,27,13,0.876952232
1,27,14,0.783211453
1,27,15,0.679610189
1,27,16,0.480005984
1,27,17,0
1,27,18,0
1,27,19,0
1,27,20,0
1,27,21,0
1,27,22,0
1,27,23,0
1,27,24,0
1,28,1,0
1,28,2,0
1,28,3,0
1,28,4,0
1,28,5,0
1,28,6,0
1,28,7,0
1,28,8,0
1,28,9,0.461281666
1,28,10,0.695053194
1,28,11,0.5908938
1,28,12,0.850094088
1,28,13,0.916281739
1,28,14,0.81919464
1,28,15,0.711639244
1,28,16,0.502707461
1,28,17,0
1,28,18,0
1,28,19,0
1,28,20,0
1,28,21,0
1,28,22,0
1,28,23,0
1,28,24,0
1,29,1,0
1,29,2,0
1,29,3,0
1,29,4,0
1,29,5,0
1,29,6,0
1,29,7,0
1,29,8,0
1,29,9,0.484068466
1,29,10,0.667199758
1,29,11,0.771241085
1,29,12,0.840048001
1,29,13,0.802890905
1,29,14,0.716995566
1,29,15,0.569395783
1,29,16,0.436790198
1,29,17,0
1,29,18,0
1,29,19,0
1,29,20,0
1,29,21,0
1,29,22,0
1,29,23,0
1,29,24,0
1,30,1,0
1,30,2,0
1,30,3,0
1,30,4,0
1,30,5,0
1,30,6,0
1,30,7,0
1,30,8,0
1,30,9,0.47911308
1,30,10,0.712015556
1,30,11,0.695160551
1,30,12,0.838937
1,30,13,0.864189847
1,30,14,0.782612504
1,30,15,0.641360062
1,30,16,0.465468586
1,30,17,0
1,30,18,0
1,30,19,0
1,30,20,0
1,30,21,0
1,30,22,0
1,30,23,0
1,30,24,0
1,31,1,0
1,31,2,0
1,31,3,0
1,31,4,0
1,31,5,0
1,31,6,0
1,31,7,0
1,31,8,0
1,31,9,0.525050903
1,31,10,0.688413419
1,31,11,0.551545352
1,31,12,0.281514971
1,31,13,0.597215676
1,31,14,0.837814169
1,31,15,0.633290303
1,31,16,0.468432461
1,31,17,0
1,31,18,0
1,31,19,0
1,31,20,0
1,31,21,0
1,31,22,0
1,31,23,0
1,31,24,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0.42031836
2,1,10,0.655756167
2,1,11,0.782801819
2,1,12,0.824877004
2,1,13,0.793937991
2,1,14,0.724924956
2,1,15,0.621489316
2,1,16,0.460746189
2,1,17,0
2,1,18,0
2,1,19,0
2,1,20,0
2,1,21,0
2,1,22,0
2,1,23,0
2,1,24,0
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,0
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0.479835759
2,2,10,0.663002794
2,2,11,0.75123457
2,2,12,0.720381491
2,2,13,0.768591931
2,2,14,0.813527364
2,2,15,0.67362974
2,2,16,0.481562239
2,2,17,0
2,2,18,0
2,2,19,0
2,2,20,0
2,2,21,0
2,2,22,0
2,2,23,0
2,2,24,0
2,3,1,0
2,3,2,0
2,3,3,0
2,3,4,0
2,3,5,0
2,3,6,0
2,3,7,0
2,3,8,0
2,3,9,0.466428891
2,3,10,0.539722412
2,3,11,0.754712823
2,3,12,0.820658319
2,3,13,0.743134389
2,3,14,0.737166765
2,3,15,0.607338289
2,3,16,0.459364827
2,3,17,0
2,3,18,0
2,3,19,0
2,3,20,0
2,3,21,0
2,3,22,0
2,3,23,0
2,3,24,0
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,0
2,4,5,0
2,4,6,0
2,4,7,0
2,4,8,0
2,4,9,0.382008196
2,4,10,0.661906377
2,4,11,0.237136928
2,4,12,0.782882347
2,4,13,0.813607681
2,4,14,0.679516455
2,4,15,0.57244734
2,4,16,0.311090982
2,4,17,0
2,4,18,0
2,4,19,0
2,4,20,0
2,4,21,0
2,4,22,0
2,4,23,0
2,4,24,0
2,5,1,0
2,5,2,0
2,5,3,0
2,5,4,0
2,5,5,0
2,5,6,0
2,5,7,0
2,5,8,0
2,5,9,0.203260214
2,5,10,0.637367333
2,5,11,0.599708403
2,5,12,0.365089738
2,5,13,0.296751324
2,5,14,0.526721041
2,5,15,0.614015988
2,5,16,0.432290907
2,5,17,0
2,5,18,0
2,5,19,0
2,5,20,0
2,5,21,0
2,5,22,0
2,5,23,0
2,5,24,0
2,6,1,0
2,6,2,0
2,6,3,0
2,6,4,0
2,6,5,0
2,6,6,0
2,6,7,0
2,6,8,0
2,6,9,0.476026654
2,6,10,0.649366794
2,6,11,0.801977655
2,6,12,0.817486487
2,6,13,0.81277566
2,6,14,0.784912938
2,6,15,0.635004436
2,6,16,0.48336643
